Jurisdiction,Year,Female,Male,Gap
Alabama,2002,211.0,203.0,-8.0
Alabama,2003,211.0,204.0,-7.0
Alabama,2005,211.0,205.0,-6.0
Alabama,2007,219.0,213.0,-6.0
Alabama,2009,221.0,212.0,-9.0
Alabama,2011,223.0,218.0,-5.0
Alabama,2013,223.0,215.0,-8.0
Alabama,2015,221.0,213.0,-8.0
Alabama,2017,220.0,213.0,-7.0
Alabama,2019,217.0,207.0,-10.0
Alabama,2022,218.0,208.0,-10.0
Alaska,2002,222.0,215.0,-7.0
Alaska,2003,218.0,205.0,-13.0
Alaska,2005,215.0,207.0,-8.0
Alaska,2007,219.0,210.0,-9.0
Alaska,2009,216.0,207.0,-9.0
Alaska,2011,212.0,204.0,-8.0
Alaska,2013,212.0,206.0,-6.0
Alaska,2015,216.0,210.0,-6.0
Alaska,2017,211.0,203.0,-8.0
Alaska,2019,208.0,201.0,-7.0
Alaska,2022,210.0,197.0,-13.0
Arizona,2002,211.0,200.0,-11.0
Arizona,2003,212.0,206.0,-6.0
Arizona,2005,211.0,203.0,-8.0
Arizona,2007,214.0,206.0,-8.0
Arizona,2009,213.0,207.0,-6.0
Arizona,2011,216.0,209.0,-7.0
Arizona,2013,216.0,210.0,-6.0
Arizona,2015,220.0,211.0,-9.0
Arizona,2017,218.0,213.0,-5.0
Arizona,2019,218.0,213.0,-5.0
Arizona,2022,218.0,213.0,-5.0
Arkansas,2002,216.0,210.0,-6.0
Arkansas,2003,218.0,209.0,-9.0
Arkansas,2005,221.0,213.0,-8.0
Arkansas,2007,221.0,213.0,-8.0
Arkansas,2009,222.0,211.0,-11.0
Arkansas,2011,219.0,214.0,-5.0
Arkansas,2013,223.0,215.0,-8.0
Arkansas,2015,223.0,213.0,-10.0
Arkansas,2017,221.0,212.0,-9.0
Arkansas,2019,218.0,213.0,-5.0
Arkansas,2022,217.0,208.0,-9.0
California,2002,208.0,204.0,-4.0
California,2003,209.0,202.0,-7.0
California,2005,210.0,203.0,-7.0
California,2007,213.0,204.0,-9.0
California,2009,213.0,207.0,-6.0
California,2011,214.0,209.0,-5.0
California,2013,216.0,210.0,-6.0
California,2015,216.0,210.0,-6.0
California,2017,220.0,211.0,-9.0
California,2019,221.0,212.0,-9.0
California,2022,218.0,211.0,-7.0
Colorado,2002,222.0,215.0,-7.0
Colorado,2003,227.0,220.0,-7.0
Colorado,2005,227.0,221.0,-6.0
Colorado,2007,226.0,221.0,-5.0
Colorado,2009,229.0,222.0,-7.0
Colorado,2011,228.0,219.0,-9.0
Colorado,2013,231.0,223.0,-8.0
Colorado,2015,228.0,221.0,-7.0
Colorado,2017,228.0,222.0,-6.0
Colorado,2019,229.0,221.0,-8.0
Colorado,2022,225.0,221.0,-4.0
Connecticut,2002,233.0,226.0,-7.0
Connecticut,2003,232.0,224.0,-8.0
Connecticut,2005,230.0,222.0,-8.0
Connecticut,2007,231.0,224.0,-7.0
Connecticut,2009,234.0,225.0,-9.0
Connecticut,2011,232.0,224.0,-8.0
Connecticut,2013,232.0,227.0,-5.0
Connecticut,2015,233.0,225.0,-8.0
Connecticut,2017,231.0,226.0,-5.0
Connecticut,2019,228.0,221.0,-7.0
Connecticut,2022,219.0,219.0,0.0
Delaware,2002,226.0,222.0,-4.0
Delaware,2003,226.0,222.0,-4.0
Delaware,2005,229.0,223.0,-6.0
Delaware,2007,228.0,222.0,-6.0
Delaware,2009,228.0,223.0,-5.0
Delaware,2011,228.0,223.0,-5.0
Delaware,2013,228.0,224.0,-4.0
Delaware,2015,226.0,221.0,-5.0
Delaware,2017,226.0,217.0,-9.0
Delaware,2019,221.0,214.0,-7.0
Delaware,2022,212.0,204.0,-8.0
Florida,2002,218.0,210.0,-8.0
Florida,2003,222.0,214.0,-8.0
Florida,2005,222.0,217.0,-5.0
Florida,2007,227.0,220.0,-7.0
Florida,2009,229.0,223.0,-6.0
Florida,2011,228.0,221.0,-7.0
Florida,2013,231.0,224.0,-7.0
Florida,2015,231.0,224.0,-7.0
Florida,2017,231.0,226.0,-5.0
Florida,2019,229.0,220.0,-9.0
Florida,2022,228.0,221.0,-7.0
Georgia,2002,219.0,211.0,-8.0
Georgia,2003,218.0,210.0,-8.0
Georgia,2005,219.0,210.0,-9.0
Georgia,2007,222.0,216.0,-6.0
Georgia,2009,221.0,214.0,-7.0
Georgia,2011,226.0,216.0,-10.0
Georgia,2013,225.0,219.0,-6.0
Georgia,2015,225.0,219.0,-6.0
Georgia,2017,223.0,216.0,-7.0
Georgia,2019,222.0,214.0,-8.0
Georgia,2022,221.0,211.0,-10.0
Hawaii,2002,213.0,203.0,-10.0
Hawaii,2003,215.0,202.0,-13.0
Hawaii,2005,214.0,205.0,-9.0
Hawaii,2007,219.0,208.0,-11.0
Hawaii,2009,217.0,205.0,-12.0
Hawaii,2011,219.0,208.0,-11.0
Hawaii,2013,221.0,209.0,-12.0
Hawaii,2015,220.0,211.0,-9.0
Hawaii,2017,221.0,212.0,-9.0
Hawaii,2019,222.0,213.0,-9.0
Hawaii,2022,225.0,213.0,-12.0
Idaho,2002,224.0,216.0,-8.0
Idaho,2003,221.0,216.0,-5.0
Idaho,2005,225.0,218.0,-7.0
Idaho,2007,226.0,221.0,-5.0
Idaho,2009,226.0,217.0,-9.0
Idaho,2011,224.0,218.0,-6.0
Idaho,2013,222.0,217.0,-5.0
Idaho,2015,225.0,218.0,-7.0
Idaho,2017,225.0,220.0,-5.0
Idaho,2019,228.0,217.0,-11.0
Idaho,2022,219.0,211.0,-8.0
Illinois,2002,222.0,215.0,-7.0
Illinois,2003,219.0,214.0,-5.0
Illinois,2005,218.0,215.0,-3.0
Illinois,2007,222.0,217.0,-5.0
Illinois,2009,224.0,215.0,-9.0
Illinois,2011,222.0,217.0,-5.0
Illinois,2013,222.0,215.0,-7.0
Illinois,2015,225.0,219.0,-6.0
Illinois,2017,224.0,217.0,-7.0
Illinois,2019,221.0,215.0,-6.0
Illinois,2022,219.0,217.0,-2.0
Indiana,2002,224.0,220.0,-4.0
Indiana,2003,224.0,216.0,-8.0
Indiana,2005,222.0,214.0,-8.0
Indiana,2007,224.0,219.0,-5.0
Indiana,2009,227.0,218.0,-9.0
Indiana,2011,225.0,217.0,-8.0
Indiana,2013,229.0,222.0,-7.0
Indiana,2015,230.0,224.0,-6.0
Indiana,2017,229.0,224.0,-5.0
Indiana,2019,226.0,218.0,-8.0
Indiana,2022,219.0,216.0,-3.0
Iowa,2002,226.0,220.0,-6.0
Iowa,2003,227.0,220.0,-7.0
Iowa,2005,224.0,218.0,-6.0
Iowa,2007,228.0,222.0,-6.0
Iowa,2009,226.0,217.0,-9.0
Iowa,2011,224.0,218.0,-6.0
Iowa,2013,227.0,221.0,-6.0
Iowa,2015,226.0,221.0,-5.0
Iowa,2017,225.0,219.0,-6.0
Iowa,2019,223.0,218.0,-5.0
Iowa,2022,220.0,216.0,-4.0
Kansas,2002,226.0,218.0,-8.0
Kansas,2003,224.0,216.0,-8.0
Kansas,2005,223.0,218.0,-5.0
Kansas,2007,228.0,221.0,-7.0
Kansas,2009,226.0,222.0,-4.0
Kansas,2011,228.0,219.0,-9.0
Kansas,2013,227.0,220.0,-7.0
Kansas,2015,225.0,217.0,-8.0
Kansas,2017,226.0,221.0,-5.0
Kansas,2019,223.0,215.0,-8.0
Kansas,2022,218.0,211.0,-7.0
Kentucky,2002,224.0,215.0,-9.0
Kentucky,2003,223.0,215.0,-8.0
Kentucky,2005,222.0,218.0,-4.0
Kentucky,2007,226.0,219.0,-7.0
Kentucky,2009,229.0,222.0,-7.0
Kentucky,2011,227.0,223.0,-4.0
Kentucky,2013,228.0,221.0,-7.0
Kentucky,2015,230.0,226.0,-4.0
Kentucky,2017,226.0,222.0,-4.0
Kentucky,2019,224.0,218.0,-6.0
Kentucky,2022,218.0,215.0,-3.0
Louisiana,2002,210.0,204.0,-6.0
Louisiana,2003,210.0,200.0,-10.0
Louisiana,2005,211.0,208.0,-3.0
Louisiana,2007,212.0,203.0,-9.0
Louisiana,2009,212.0,203.0,-9.0
Louisiana,2011,215.0,206.0,-9.0
Louisiana,2013,215.0,207.0,-8.0
Louisiana,2015,222.0,211.0,-11.0
Louisiana,2017,213.0,210.0,-3.0
Louisiana,2019,215.0,205.0,-10.0
Louisiana,2022,217.0,208.0,-9.0
Maine,2002,228.0,222.0,-6.0
Maine,2003,226.0,221.0,-5.0
Maine,2005,228.0,221.0,-7.0
Maine,2007,228.0,223.0,-5.0
Maine,2009,228.0,220.0,-8.0
Maine,2011,225.0,219.0,-6.0
Maine,2013,228.0,221.0,-7.0
Maine,2015,228.0,220.0,-8.0
Maine,2017,224.0,219.0,-5.0
Maine,2019,225.0,218.0,-7.0
Maine,2022,216.0,210.0,-6.0
Maryland,2002,220.0,214.0,-6.0
Maryland,2003,222.0,215.0,-7.0
Maryland,2005,223.0,217.0,-6.0
Maryland,2007,228.0,221.0,-7.0
Maryland,2009,229.0,223.0,-6.0
Maryland,2011,234.0,227.0,-7.0
Maryland,2013,236.0,228.0,-8.0
Maryland,2015,228.0,218.0,-10.0
Maryland,2017,230.0,221.0,-9.0
Maryland,2019,222.0,217.0,-5.0
Maryland,2022,215.0,210.0,-5.0
Massachusetts,2002,237.0,231.0,-6.0
Massachusetts,2003,231.0,225.0,-6.0
Massachusetts,2005,233.0,230.0,-3.0
Massachusetts,2007,238.0,233.0,-5.0
Massachusetts,2009,236.0,231.0,-5.0
Massachusetts,2011,239.0,234.0,-5.0
Massachusetts,2013,235.0,229.0,-6.0
Massachusetts,2015,238.0,233.0,-5.0
Massachusetts,2017,239.0,233.0,-6.0
Massachusetts,2019,236.0,226.0,-10.0
Massachusetts,2022,230.0,224.0,-6.0
Michigan,2002,222.0,216.0,-6.0
Michigan,2003,222.0,216.0,-6.0
Michigan,2005,221.0,216.0,-5.0
Michigan,2007,224.0,216.0,-8.0
Michigan,2009,222.0,214.0,-8.0
Michigan,2011,222.0,216.0,-6.0
Michigan,2013,221.0,214.0,-7.0
Michigan,2015,219.0,214.0,-5.0
Michigan,2017,222.0,214.0,-8.0
Michigan,2019,222.0,214.0,-8.0
Michigan,2022,215.0,209.0,-6.0
Minnesota,2002,230.0,221.0,-9.0
Minnesota,2003,229.0,216.0,-13.0
Minnesota,2005,229.0,221.0,-8.0
Minnesota,2007,227.0,223.0,-4.0
Minnesota,2009,227.0,220.0,-7.0
Minnesota,2011,225.0,219.0,-6.0
Minnesota,2013,231.0,223.0,-8.0
Minnesota,2015,229.0,218.0,-11.0
Minnesota,2017,227.0,222.0,-5.0
Minnesota,2019,225.0,220.0,-5.0
Minnesota,2022,219.0,212.0,-7.0
Mississippi,2002,206.0,200.0,-6.0
Mississippi,2003,209.0,202.0,-7.0
Mississippi,2005,208.0,200.0,-8.0
Mississippi,2007,212.0,204.0,-8.0
Mississippi,2009,213.0,208.0,-5.0
Mississippi,2011,215.0,204.0,-11.0
Mississippi,2013,210.0,207.0,-3.0
Mississippi,2015,217.0,212.0,-5.0
Mississippi,2017,219.0,212.0,-7.0
Mississippi,2019,223.0,216.0,-7.0
Mississippi,2022,223.0,212.0,-11.0
Missouri,2002,224.0,216.0,-8.0
Missouri,2003,226.0,219.0,-7.0
Missouri,2005,224.0,218.0,-6.0
Missouri,2007,225.0,216.0,-9.0
Missouri,2009,229.0,219.0,-10.0
Missouri,2011,225.0,215.0,-10.0
Missouri,2013,226.0,219.0,-7.0
Missouri,2015,226.0,219.0,-7.0
Missouri,2017,225.0,221.0,-4.0
Missouri,2019,222.0,214.0,-8.0
Missouri,2022,216.0,211.0,-5.0
Montana,2002,229.0,219.0,-10.0
Montana,2003,228.0,218.0,-10.0
Montana,2005,227.0,222.0,-5.0
Montana,2007,228.0,225.0,-3.0
Montana,2009,228.0,222.0,-6.0
Montana,2011,229.0,222.0,-7.0
Montana,2013,226.0,220.0,-6.0
Montana,2015,229.0,221.0,-8.0
Montana,2017,225.0,220.0,-5.0
Montana,2019,226.0,218.0,-8.0
Montana,2022,223.0,214.0,-9.0
National,2002,222.0,215.0,-7.0
National,2003,222.0,215.0,-7.0
National,2005,222.0,216.0,-6.0
National,2007,224.0,218.0,-6.0
National,2009,224.0,218.0,-6.0
National,2011,225.0,218.0,-7.0
National,2013,225.0,219.0,-6.0
National,2015,226.0,219.0,-7.0
National,2017,225.0,219.0,-6.0
National,2019,224.0,217.0,-7.0
National,2022,221.0,214.0,-7.0
Nebraska,2002,225.0,218.0,-7.0
Nebraska,2003,223.0,218.0,-5.0
Nebraska,2005,224.0,219.0,-5.0
Nebraska,2007,225.0,221.0,-4.0
Nebraska,2009,225.0,220.0,-5.0
Nebraska,2011,226.0,220.0,-6.0
Nebraska,2013,225.0,221.0,-4.0
Nebraska,2015,231.0,222.0,-9.0
Nebraska,2017,228.0,221.0,-7.0
Nebraska,2019,227.0,218.0,-9.0
Nebraska,2022,222.0,216.0,-6.0
Nevada,2002,212.0,206.0,-6.0
Nevada,2003,211.0,202.0,-9.0
Nevada,2005,212.0,203.0,-9.0
Nevada,2007,214.0,208.0,-6.0
Nevada,2009,214.0,208.0,-6.0
Nevada,2011,216.0,210.0,-6.0
Nevada,2013,218.0,210.0,-8.0
Nevada,2015,216.0,213.0,-3.0
Nevada,2017,219.0,211.0,-8.0
Nevada,2019,221.0,214.0,-7.0
Nevada,2022,213.0,210.0,-3.0
New Hampshire,2002,222.0,215.0,-7.0
New Hampshire,2003,232.0,224.0,-8.0
New Hampshire,2005,231.0,224.0,-7.0
New Hampshire,2007,232.0,226.0,-6.0
New Hampshire,2009,233.0,226.0,-7.0
New Hampshire,2011,235.0,226.0,-9.0
New Hampshire,2013,235.0,229.0,-6.0
New Hampshire,2015,238.0,227.0,-11.0
New Hampshire,2017,230.0,228.0,-2.0
New Hampshire,2019,229.0,220.0,-9.0
New Hampshire,2022,226.0,219.0,-7.0
