,Jurisdiction,2002,2003,2005,2007,2009,2011,2013,2015,2017,2019,2022
0,Alabama,-11,-15,-15,-10,-12,-9,-9,-12,-9,-17,-12
1,Alaska,-9,-13,-12,-11,-11,-11,-14,-14,-10,-11,-16
2,Arizona,-10,-9,-11,-8,-7,-10,-9,-8,-10,-11,-9
3,Arkansas,-11,-9,-11,-10,-8,-10,-10,-13,-8,-12,-10
4,California,-8,-8,-9,-11,-9,-12,-10,-8,-10,-11,-5
5,Colorado,-9,-12,-7,-9,-8,-6,-8,-14,-9,-11,-13
6,Connecticut,-12,-11,-12,-10,-10,-9,-12,-11,-9,-12,-14
7,Delaware,-7,-10,-10,-9,-10,-11,-10,-11,-10,-12,-10
8,Florida,-11,-12,-13,-12,-10,-10,-12,-11,-7,-9,-10
9,Georgia,-10,-10,-12,-11,-11,-9,-10,-14,-11,-13,-10
10,Hawaii,-17,-13,-14,-15,-14,-11,-12,-11,-15,-14,-13
11,Idaho,-14,-13,-13,-10,-12,-8,-11,-12,-8,-11,-9
12,Illinois,-9,-5,-11,-8,-9,-10,-8,-10,-10,-9,-9
13,Indiana,-10,-11,-11,-11,-6,-10,-10,-9,-10,-14,-8
14,Iowa,-9,-12,-12,-9,-8,-8,-8,-6,-11,-11,-7
15,Kansas,-9,-12,-9,-9,-4,-9,-8,-10,-9,-10,-9
16,Kentucky,-9,-11,-12,-9,-8,-10,-7,-10,-15,-10,-11
17,Louisiana,-8,-10,-12,-10,-10,-8,-9,-9,-8,-9,-10
18,Maine,-10,-13,-12,-12,-11,-10,-14,-9,-14,-13,-14
19,Maryland,-11,-14,-10,-10,-10,-8,-9,-16,-11,-9,-11
20,Massachusetts,-9,-10,-9,-9,-10,-9,-8,-7,-9,-12,-11
21,Michigan,-11,-11,-10,-11,-10,-11,-9,-10,-11,-11,-9
22,Minnesota,-9,-13,-11,-11,-10,-8,-10,-12,-12,-12,-11
23,Mississippi,-8,-11,-9,-9,-7,-10,-11,-11,-5,-9,-8
24,Missouri,-6,-8,-10,-9,-10,-11,-12,-14,-10,-16,-12
25,Montana,-7,-12,-9,-13,-11,-10,-9,-10,-13,-14,-11
26,National,-9,-11,-10,-10,-10,-9,-10,-9,-10,-11,-9
27,Nebraska,-7,-10,-13,-10,-9,-8,-9,-11,-7,-8,-11
28,Nevada,-11,-12,-11,-14,-12,-12,-10,-11,-10,-9,-10
29,New Hampshire,-9,-11,-11,-11,-13,-8,-11,-12,-10,-14,-9
30,New Jersey,-9,-9,-7,-8,-8,-10,-11,-8,-9,-10,-4
31,New Mexico,-8,-11,-8,-8,-6,-8,-8,-10,-8,-14,-12
32,New York,-6,-12,-10,-11,-11,-9,-11,-9,-12,-10,-6
33,North Carolina,-10,-11,-15,-11,-14,-14,-13,-14,-12,-13,-10
34,North Dakota,-10,-11,-7,-8,-9,-9,-10,-9,-13,-11,-16
35,Ohio,-7,-7,-11,-8,-7,-10,-10,-10,-11,-10,-8
36,Oklahoma,-10,-12,-11,-9,-9,-8,-8,-8,-8,-12,-9
37,Oregon,-9,-11,-10,-11,-10,-9,-11,-12,-13,-10,-6
38,Pennsylvania,-5,-11,-9,-5,-7,-9,-6,-8,-8,-11,-9
39,Rhode Island,-8,-10,-10,-5,-10,-11,-11,-10,-12,-10,-9
40,South Carolina,-10,-10,-10,-9,-13,-10,-11,-13,-11,-12,-8
41,South Dakota,-9,-10,-9,-8,-9,-8,-12,-9,-11,-12,-12
42,Tennessee,-12,-13,-9,-10,-8,-9,-7,-8,-12,-11,-15
43,Texas,-11,-12,-9,-10,-8,-3,-8,-9,-7,-10,-4
44,Utah,-13,-10,-14,-9,-11,-10,-10,-11,-8,-11,-13
45,Vermont,-10,-11,-14,-10,-11,-12,-11,-10,-14,-14,-14
46,Virginia,-11,-9,-10,-10,-11,-8,-11,-8,-10,-18,-10
47,Washington,-14,-13,-9,-10,-12,-13,-9,-13,-11,-13,-5
48,West Virginia,-9,-11,-11,-14,-14,-13,-12,-8,-14,-14,-11
49,Wisconsin,-9,-15,-12,-15,-11,-10,-14,-11,-15,-15,-8
50,Wyoming,-11,-10,-8,-10,-6,-9,-12,-12,-14,-10,-14
